tgt_Y,tgt_M,tgt_D,tgt_tz,temperature,humidity,windspeed,winddirection,6hrain,6hsnow,rainprobability,raintype,seawave,skystatus,ss_numberofturbineinuse,ss
2014,1,26,5,2.8,59,1.8,25,0,0,0,0,0.5,1,9,13954.39533
2014,1,26,6,0.2,82,2.4,50,0,0,0,0,0.5,1,9,8053.487
2014,1,26,7,0.2,81,2.2,210,0,0,0,0,0.5,1,9,4906.011667
2014,1,27,0,7.1,55,3.2,262,0,0,0,0,0.5,1,9,3544.456
2014,1,27,1,11.1,50,1.8,310,0,0,0,0,0.5,1,4.944444444,650.9866667
2014,1,27,2,12.1,44,1.8,352,0,0,0,0,0.5,1,2.444444444,111.0533333
2014,1,27,3,10.8,60,1.3,312,0,0,0,0,0.5,1,0,0
2014,1,27,4,7,65,1.8,237,0,0,10,0,0.5,2,2.055555556,71.644
2014,1,27,5,7.2,68,3.3,225,0,0,10,0,0.5,2,3.222222222,105.394
2014,1,27,6,4.9,76,3.1,241,0,0,10,0,0.5,2,0.388888889,13.75666667
2014,1,27,7,5.9,81,3,246,0,0,10,0,0.5,2,8.611111111,1428.195
2014,1,28,0,8.8,65,2.4,295,0,0,20,0,0.5,3,8.944444444,6222.103667
2014,1,28,1,12,56,3.4,313,0,0,20,0,0.5,3,9,6237.568
2014,1,28,2,11.1,61,3,324,0,0,20,0,0.5,3,1.444444444,53.75333333
2014,1,28,3,8,66,3.1,339,0,0,10,0,0.5,2,7.611111111,1194.585333
2014,1,28,4,6.3,75,3.3,348,0,0,10,0,0.5,2,9,2528.191
2014,1,28,5,4.3,75,2.4,335,0,0,10,0,0.5,2,9.833333333,4020.773
2014,1,28,6,3.3,76,2.3,340,0,0,10,0,0.5,2,10,12789.189
2014,1,28,7,2.5,76,1.8,36,0,0,10,0,0.5,2,10,14442.04933
2014,1,29,0,8.1,67,0.9,131,0,0,0,0,0,1,10,10284.814
2014,1,29,1,14.3,50,3.4,153,0,0,10,0,0,2,10,4780.793333
2014,1,29,2,14.2,50,5.7,167,0,0,20,0,0,3,5.944444444,649.2056667
2014,1,29,3,12.1,64,3.7,184,0,0,30,0,0.5,3,1.777777778,141.5523333
2014,1,29,4,12.4,75,3.5,222,5,0,30,0,0.5,4,10,4502.506667
2014,1,29,5,12.1,85,2.7,313,5,0,60,1,0.5,4,10,2995.134667
